utterance,visId,gt,dataset,gtId,id
Visualize the count of positions with a pie chart. ,exp-0,"{'mark': {'type': 'arc'}, 'encoding': {'theta': {'type': 'quantitative', 'aggregate': 'count'}, 'color': {'field': 'position', 'type': 'nominal'}}, 'data': {'url': 'ROV.json'}}",rov,exp-0,exp-0
Could you draw a line chart with points that show the average points per game for each team in different areas?,exp-1,"{'mark': {'type': 'line', 'point': True}, 'encoding': {'x': {'timeUnit': 'year', 'field': 'season'}, 'y': {'aggregate': 'mean', 'field': 'points_per_game', 'type': 'quantitative'}, 'color': {'field': 'team', 'type': 'nominal'}}, 'data': {'url': 'nba_cleaned.json'}}",nba_cleaned,exp-1,exp-1
What are the average of low values for each month? Draw a bar chart with a red line showing the average value.,exp-2,"{'layer': [{'mark': 'bar', 'encoding': {'x': {'timeUnit': 'month', 'field': 'date', 'type': 'ordinal'}, 'y': {'aggregate': 'mean', 'field': 'low', 'type': 'quantitative'}}}, {'mark': 'rule', 'encoding': {'y': {'aggregate': 'mean', 'field': 'low', 'type': 'quantitative'}, 'color': {'value': 'firebrick'}, 'size': {'value': 3}}}], 'data': {'url': 'Brazilian Corn Futures.json'}}",brazilian corn futures,exp-2,exp-2
Create a pie chart to illustrate the total rebounds per game for each team.,exp-3,"{'mark': {'type': 'arc'}, 'encoding': {'theta': {'field': 'total_rebounds_per_game', 'type': 'quantitative', 'aggregate': 'sum'}, 'color': {'field': 'team', 'type': 'nominal'}}, 'data': {'url': 'nba_cleaned.json'}}",nba_cleaned,exp-3,exp-3
"Create a graph that illustrates the relationship between sales and discounts, where quantity is shown in a distinct color. ",exp-4,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'discount', 'type': 'quantitative'}, 'y': {'field': 'sales', 'type': 'quantitative'}, 'color': {'field': 'quantity', 'type': 'quantitative'}}, 'data': {'url': 'SampleSuperstore.json'}}",samplesuperstore,exp-4,exp-4
A histogram with bronze on x and counts on y.,exp-5,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'bin': True, 'field': 'bronze'}, 'y': {'aggregate': 'count'}}, 'data': {'url': 'Valorant_pc_game_players.json'}}",valorant_pc_game_players,exp-5,exp-5
Plot error bars with black dots for the mean season values of each home team!,exp-6,"{'layer': [{'mark': 'errorbar', 'encoding': {'x': {'field': 'season', 'type': 'quantitative', 'scale': {'zero': False}}, 'y': {'field': 'home_team', 'type': 'ordinal'}}}, {'mark': {'type': 'point', 'filled': True, 'color': 'black'}, 'encoding': {'x': {'field': 'season', 'type': 'quantitative', 'aggregate': 'mean'}, 'y': {'field': 'home_team', 'type': 'ordinal'}}}], 'data': {'url': 'game.json'}}",game,exp-6,exp-6
Show the relationship between sell and buy using square marks.,exp-7,"{'mark': {'type': 'square'}, 'encoding': {'x': {'field': 'buying', 'type': 'quantitative'}, 'y': {'field': 'sell', 'type': 'quantitative'}}, 'data': {'url': 'currency.json'}}",currency,exp-7,exp-7
"Visualize win_shares_per_48_minutes on the x-axis, field_goal_perc on the y-axis, and binned points_per_game represented by the size of the bubbles.",exp-8,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'win_shares_per_48_minutes', 'type': 'quantitative'}, 'y': {'field': 'field_goal_perc', 'type': 'quantitative'}, 'size': {'field': 'points_per_game', 'type': 'quantitative'}}, 'data': {'url': 'nba_cleaned.json'}}",nba_cleaned,exp-8,exp-8
Generate a bar histogram without spacing between the bars to illustrate buying.,exp-9,"{'mark': {'type': 'bar', 'binSpacing': 0}, 'encoding': {'x': {'bin': {'maxbins': 10}, 'field': 'buying'}, 'y': {'aggregate': 'count'}}, 'data': {'url': 'currency.json'}}",currency,exp-9,exp-9
