id,utterance,dataset,gt,gtId,maintable,dataset2
VIS_6304,Find the total number of hours have done for all students in each department. Visualize by bar chart.,college_1_student,"{'data': {'url': 'student.csv'}, 'encoding': {'x': {'field': 'dept_code', 'type': 'nominal'}, 'y': {'aggregate': 'sum', 'type': 'quantitative', 'field': 'stu_hrs'}}, 'transform': [], 'mark': 'bar'}",VIS_6304,college_1_student,VIS_6304
VIS_7107,"A bar chart shows the distribution of ACC_Regular_Season and All_Games_Percent , and display from low to high by the bars.",university_basketball_basketball_match,"{'data': {'url': 'basketball_match.csv'}, 'encoding': {'x': {'field': 'acc_regular_season', 'type': 'nominal', 'sort': 'ascending'}, 'y': {'field': 'all_games_percent', 'type': 'quantitative'}}, 'transform': [], 'mark': 'bar'}",VIS_7107,university_basketball_basketball_match,VIS_7107
VIS_3441,"Create a bar chart showing mean amount of transaction across transaction type code, display by the transaction_type_code in asc.",tracking_share_transactions_transactions,"{'data': {'url': 'transactions.csv'}, 'encoding': {'x': {'field': 'transaction_type_code', 'type': 'nominal', 'sort': 'ascending'}, 'y': {'aggregate': 'mean', 'type': 'quantitative', 'field': 'amount_of_transaction'}}, 'transform': [], 'mark': 'bar'}",VIS_3441,tracking_share_transactions_transactions,VIS_3441
VIS_1091,Show all calendar dates and bin by year in a line chart.,cre_doc_tracking_db_ref_calendar,"{'data': {'url': 'ref_calendar.csv'}, 'encoding': {'x': {'field': 'calendar_date', 'type': 'ordinal', 'timeUnit': 'year'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'calendar_date'}}, 'transform': [], 'mark': 'line'}",VIS_1091,cre_doc_tracking_db_ref_calendar,VIS_1091
VIS_650,"For those employees whose salary is in the range of 8000 and 12000 and commission is not null or department number does not equal to 40, draw a scatter chart about the correlation between  salary and  department_id .",hr_1_employees,"{'data': {'url': 'employees.csv'}, 'encoding': {'x': {'field': 'salary', 'type': 'quantitative'}, 'y': {'field': 'department_id', 'type': 'quantitative'}}, 'transform': [{'filter': {'or': [{'and': [{'field': 'salary', 'range': [8000.0, 12000.0]}, 'datum.commission_pct != ""null""']}, 'datum.department_id != 40.0']}}], 'mark': 'point'}",VIS_650,hr_1_employees,VIS_650
VIS_7164,"Bar chart of the number of date from each date, and display date in descending order.",battle_death_battle,"{'data': {'url': 'battle.csv'}, 'encoding': {'x': {'field': 'date', 'type': 'nominal', 'sort': 'descending'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'date'}}, 'transform': [], 'mark': 'bar'}",VIS_7164,battle_death_battle,VIS_7164
VIS_3326,"Show me how many home team by home team in a histogram, and I want to order how many home team in ascending order.",game_injury_game,"{'data': {'url': 'game.csv'}, 'encoding': {'x': {'field': 'home_team', 'type': 'ordinal', 'sort': 'y'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'home_team'}}, 'transform': [], 'mark': 'bar'}",VIS_3326,game_injury_game,VIS_3326
VIS_5266,"What is the lowest student GPA for every department? Return a bar chart, display in desc by the Y.",college_1_student,"{'data': {'url': 'student.csv'}, 'encoding': {'x': {'field': 'dept_code', 'type': 'ordinal', 'sort': '-y'}, 'y': {'aggregate': 'min', 'type': 'quantitative', 'field': 'stu_gpa'}}, 'transform': [], 'mark': 'bar'}",VIS_5266,college_1_student,VIS_5266
VIS_3636,Return the results of all music festivals using a pie chart.,music_4_music_festival,"{'data': {'url': 'music_festival.csv'}, 'encoding': {'theta': {'aggregate': 'count', 'field': 'result', 'type': 'quantitative'}, 'color': {'field': 'result', 'type': 'nominal'}}, 'transform': [], 'mark': 'arc'}",VIS_3636,music_4_music_festival,VIS_3636
VIS_633,"when is the hire date for those employees whose first name does not containing the letter M, and count them by a bar chart, order y axis from high to low order.",hr_1_employees,"{'data': {'url': 'employees.csv'}, 'encoding': {'x': {'field': 'hire_date', 'type': 'ordinal', 'timeUnit': 'month', 'sort': '-y'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'hire_date'}}, 'transform': [{'filter': {'not': ""test(regexp('.*M.*$'), datum.first_name)""}}], 'mark': 'bar'}",VIS_633,hr_1_employees,VIS_633
VIS_4575,"Draw a bar chart for what are the name and assets of each company, sorted in ascending order of company name?",company_office_companies,"{'data': {'url': 'companies.csv'}, 'encoding': {'x': {'field': 'name', 'type': 'nominal', 'sort': 'ascending'}, 'y': {'field': 'assets_billion', 'type': 'quantitative'}}, 'transform': [], 'mark': 'bar'}",VIS_4575,company_office_companies,VIS_4575
VIS_5825,"Find those themes and years for all exhibitions with ticket prices lower than 15, group by themes, count year, and the x-axis is Year.",theme_gallery_exhibition,"{'data': {'url': 'exhibition.csv'}, 'encoding': {'x': {'field': 'year', 'type': 'ordinal'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'year'}, 'color': {'field': 'theme', 'type': 'nominal'}}, 'transform': [{'filter': 'datum.ticket_price < 15.0'}], 'mark': 'bar'}",VIS_5825,theme_gallery_exhibition,VIS_5825
VIS_2435,Show the number of accounts opened in each year for all accounts and group by other account details in a group line chart.,customers_and_invoices_accounts,"{'data': {'url': 'accounts.csv'}, 'encoding': {'x': {'field': 'date_account_opened', 'type': 'ordinal', 'timeUnit': 'year'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'date_account_opened'}, 'color': {'field': 'other_account_details', 'type': 'nominal'}}, 'transform': [], 'mark': 'line'}",VIS_2435,customers_and_invoices_accounts,VIS_2435
VIS_1810,count yearid for visualizing a line chart.,baseball_1_hall_of_fame,"{'data': {'url': 'hall_of_fame.csv'}, 'encoding': {'x': {'field': 'yearid', 'type': 'ordinal', 'timeUnit': 'year'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'yearid'}}, 'transform': [], 'mark': 'line'}",VIS_1810,baseball_1_hall_of_fame,VIS_1810
VIS_5715,"Plot salary by grouped by email as a bar graph, and show y-axis in descending order.",hr_1_employees,"{'data': {'url': 'employees.csv'}, 'encoding': {'x': {'field': 'email', 'type': 'ordinal', 'sort': '-y'}, 'y': {'field': 'salary', 'type': 'quantitative'}}, 'transform': [], 'mark': 'bar'}",VIS_5715,hr_1_employees,VIS_5715
VIS_3906,"List the number of counties of all appellations in a bar chart, and I want to list in ascending by the bars.",wine_1_appellations,"{'data': {'url': 'appellations.csv'}, 'encoding': {'x': {'field': 'county', 'type': 'nominal', 'sort': 'ascending'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'county'}}, 'transform': [], 'mark': 'bar'}",VIS_3906,wine_1_appellations,VIS_3906
VIS_1591,"Give me a bar chart for the total number of each class, display in asc by the Y-axis.",race_track_race,"{'data': {'url': 'race.csv'}, 'encoding': {'x': {'field': 'class', 'type': 'ordinal', 'sort': 'y'}, 'y': {'aggregate': 'count', 'type': 'quantitative'}}, 'transform': [], 'mark': 'bar'}",VIS_1591,race_track_race,VIS_1591
VIS_7051,"Create a bar chart showing the total number across rank, display Y in descending order.",activity_1_faculty,"{'data': {'url': 'faculty.csv'}, 'encoding': {'x': {'field': 'rank', 'type': 'ordinal', 'sort': '-y'}, 'y': {'aggregate': 'count', 'type': 'quantitative'}}, 'transform': [], 'mark': 'bar'}",VIS_7051,activity_1_faculty,VIS_7051
VIS_6252,what is average age of male for different job title?,network_2_person,"{'data': {'url': 'person.csv'}, 'encoding': {'theta': {'aggregate': 'mean', 'field': 'age', 'type': 'quantitative'}, 'color': {'field': 'job', 'type': 'nominal'}}, 'transform': [{'filter': ""datum.gender == 'male'""}], 'mark': 'arc'}",VIS_6252,network_2_person,VIS_6252
VIS_6028,"Display a bar chart for what is the code of each location and the number of documents in that location?, rank in descending by the y-axis.",cre_doc_tracking_db_document_locations,"{'data': {'url': 'document_locations.csv'}, 'encoding': {'x': {'field': 'location_code', 'type': 'ordinal', 'sort': '-y'}, 'y': {'aggregate': 'count', 'type': 'quantitative'}}, 'transform': [], 'mark': 'bar'}",VIS_6028,cre_doc_tracking_db_document_locations,VIS_6028
VIS_4654,"For those employees whose first name is ending with the letter m, compute their average salary for visualizing a bar chart.",hr_1_employees,"{'data': {'url': 'employees.csv'}, 'encoding': {'x': {'field': 'first_name', 'type': 'nominal'}, 'y': {'aggregate': 'mean', 'type': 'quantitative', 'field': 'salary'}}, 'transform': [{'filter': ""test(regexp('.*m'), datum.first_name)""}], 'mark': 'bar'}",VIS_4654,hr_1_employees,VIS_4654
VIS_1401,"Draw a bar chart about the distribution of All_Home and Team_ID , and group by attribute ACC_Home, I want to rank All_Home in ascending order.",university_basketball_basketball_match,"{'data': {'url': 'basketball_match.csv'}, 'encoding': {'x': {'field': 'all_home', 'type': 'nominal', 'sort': 'ascending'}, 'y': {'field': 'team_id', 'type': 'quantitative'}, 'color': {'field': 'acc_home', 'type': 'nominal'}}, 'transform': [], 'mark': 'bar'}",VIS_1401,university_basketball_basketball_match,VIS_1401
VIS_3574,"Count the number of players who enter hall of fame for each year with a line chart, rank X-axis in asc order please.",baseball_1_hall_of_fame,"{'data': {'url': 'hall_of_fame.csv'}, 'encoding': {'x': {'field': 'yearid', 'type': 'ordinal', 'sort': 'ascending'}, 'y': {'aggregate': 'count', 'type': 'quantitative'}}, 'transform': [], 'mark': 'line'}",VIS_3574,baseball_1_hall_of_fame,VIS_3574
